,,c_p,c_m,a0_m,b0_m,delta_m,s_m,a0_h,b0_h,delta_h,s_h,a0_j,b0_j,delta_j,s_j,tau_j_const,R,R_f,g_max,g_leak,tau_z,v_half_m,v_half_h,k_m,k_h,x_c_comp,x_r_comp,alpha,v_off,v_rev,v_c,tau_m_const,tau_h_const
2020_12_26_0000,211125_201339,2.2632759580664813e-12,1.920072590873762e-11,1695.234787804373,41.95907473884317,7.36437607727688,5.390225093000006,9.110362128951554,55045.89231782803,2.6060917829195898,23.948810776122215,0.1036761488515775,2954.9673208726786,31.142522847074222,70.54432783603318,0.0007414581905970923,79267517.1978125,68411.68335198368,21202.7847777617,0.4160405151806323,5.5434016227025906e-05,33.76861862428327,81.50197034535294,5.007718339018406,5.409925006964211,0.0913105641299652,0.5562393485463925,0.743157969198631,-0.02,37.98273935192722,-80.0,6.268182482306341e-05,0.0003518208593235599
2020_12_26_0014,211124_043638,8.887574119026372e-12,1.2841934334294497e-11,16472.41711802553,360.67993826958775,31.96197497415008,45.10190115035588,0.9018713600856147,153927.26695268895,1.0529461904070654,47.94182461488293,1.3053361460251167,16167.526008945004,29.237248568745798,28.582953274316356,0.004467456813058961,377487768.1634782,149246.08435975955,116321.15486418288,0.32578774130838833,0.0004273126712037296,10.060072531435278,64.60654551293219,9.42864385300282,9.996339531621269,0.0269391911827673,0.0248327309190936,0.7158451070897393,-0.02,27.988177551621725,-80.0,2.823036067568952e-05,0.0006343192457897164
2020_12_26_0014,211125_081200,9.51804039780325e-12,1.9678606240233668e-11,6481.543765773091,45.8688522452191,4.500823176446742,22.039989503370762,62.36119715340303,13446.889558889965,5.994748534707948,63.929460475562934,1.8284234429684185,39949.76471132803,17.18258410388403,618.7978228690672,0.005092161797981693,483295554.2834145,13366.019706454705,232586.49125632664,0.32815058725165613,0.000472441957444365,38.80276037941599,84.32154923165675,3.906231801293496,6.935186577617767,0.0188900197656106,0.2143860082059385,0.7596001503223376,-0.02,37.95911770929817,-80.0,1.81578124140114e-07,0.0016926412644756167
2020_12_26_0014,211125_210121,3.870670322161961e-12,6.304058126544837e-11,125210.92944336144,179.1981240136996,227.75911020569347,32.21524069758466,0.7893025578635317,15692.713973164899,5.916379093185376,74.14338254020021,5.980937249093175,6050.778806812484,0.875433924148838,292.9324600156289,0.0007764358687609977,887349314.8790702,6409.823713821377,106884.34637623093,0.12050928629684099,0.0010003210140716835,47.99434483018699,70.83529923106384,5.983160954697552,3.71434204824915,0.5601318345321136,1.0099400300388808,0.7009799081862853,-0.02,18.055122723871577,-80.0,3.3098153803035733e-07,2.13618062855906e-05
2020_12_16_0018,211124_051710,1.8482650913576228e-12,1.2354344876403522e-10,154463.96231074174,39.572632421031365,192.12384604320948,6.248527589499602,22.563889694308525,204387.7712193884,14.07078732516185,2.542720914802567,1.0243759119564397,7382.143245448116,8.407056659260988,12.582675878152784,0.0016048546450947582,56369566.541073084,118509.88644982572,367008.42078495666,2.1163369897259745,0.00015243774208059484,20.60994742331311,75.31281350918164,8.18596496287822,9.792611349121524,0.0886062823037971,0.8138482040061228,0.7904325918472938,-0.02,27.782078193623008,-80.0,3.8718053279375206e-05,0.00013249176309535325
2020_12_16_0018,211125_090146,2.8373943973490893e-12,1.2359742059479924e-10,39279.6439722212,598.6610131580326,111.10141530194382,28.700249502407623,7.965950548838632,5892.779035574378,1.0354293035583668,54.05164515067414,4.574727118802864,1498.371941868725,12.566135660361383,38.57519531086166,0.0004838391994794667,62452653.49856702,30800.284982485136,5254.295690683313,2.337642498238844,0.0002366581319181302,30.13959312207117,83.89070578955338,6.330488198848822,8.99025238150674,0.0457607008196466,0.0980367251737228,0.7602615294696269,-0.02,23.646202018209056,-80.0,1.0271742060366952e-05,0.0012248276790906955
2020_12_16_0018,211125_215059,3.897056914218477e-12,1.2354308876020364e-10,14043.031535492355,395.7319264637547,45.950100127509955,16.08163821391638,22.430507720168116,557144.5190105895,3.1751828632992627,214.40095280727408,0.22411989472017302,16810.48821106376,9.456441769133779,296.88872460318794,0.012446768352961086,62247214.520084396,6961.5392181600155,121675.5138183285,2.306750115188886,0.00023589017062042588,30.353439032349463,88.15884138403564,5.400655890597927,6.601715166439922,0.0521676410332127,0.2372278684759685,0.7224272563391972,-0.02,12.869794808222816,-80.0,1.4241813535736855e-06,0.0019994046672043983
2020_12_19_0034,211124_055729,8.572174364673159e-14,1.945508093672276e-11,1654.7718298016482,40.52570359150106,181.20198906765117,34.85916886690453,5.505629669858665,6711.831363599763,2.5524380173969745,15.504210072534677,1.6457357745788166,48196.56174921748,2.721645134017396,101.20250034852499,0.013138290683641373,211774381.8611541,2538936.7954337737,4522.076790162113,0.7055770438688618,2.3008719011733298e-05,25.77629674541786,74.00269113366559,7.661023094907673,7.464519014885031,0.0608685488813979,0.0715939601549615,0.7844232098654392,-0.02,22.509353075361265,-80.0,6.515226716669403e-05,0.0009520932695522487
2020_12_19_0034,211125_094807,5.083572818919534e-12,1.770516933355275e-11,33783.035875405374,1586.1012116446614,122.19269149432321,1.3917423530457704,5.204903615944929,16084.415502364938,40.044903836224634,2.468855003038283,0.8486403365160664,10693.070493769697,3.3837241174255333,12.103519297794643,0.0014853713313836146,266536250.87066275,24853.917419228754,53947.81554522211,0.6844047575063555,0.0003968649343403387,14.494614580047871,61.77591261930057,7.894517158013427,9.91108402050427,0.0135125004341436,0.0116432600815824,0.7644046613105323,-0.02,31.329518799374068,-80.0,7.458026222698537e-05,0.00032994810975691736
2020_12_19_0034,211125_223728,4.958502138862225e-12,1.698689411048038e-11,3514.6163562709644,185.60441769305947,35.748159612961,3.020932124077157,1.178156932109484,6278.760201865505,1.2754488131738,30.102159581650927,0.604839577776559,15667.061992555291,3.1229170433993634,15.079168113790713,0.0029575234726641536,267448062.97011104,34110.422465363954,15972.770975348385,0.7150794277043686,0.0003430699777761994,32.885538346768215,85.33254593052308,2.521702649940836,8.687795985531938,0.011931328829621,0.0132623051841014,0.7496014353397239,-0.02,28.11761407638153,-80.0,5.646901697591208e-07,0.0015698883595635924
